headline,paragraphs,category,url
Nigeria at 61: President Buhari speech today as Nigeria mark Independence Day,"Nigeria President, Muhammadu Buhari don address im citizens as di kontri celebrate 61 years of independence on Friday October 1st, 2021. President Buhari say upon di challenges wey di kontri dey face today, most Nigeria still dey maintain di spirit of 1st October celebration. Di president say di goment most priorities na to continue stabilize di economy afta di deep recession wey di kontri experience and to restore peace for areas wey dey face security challenges. But di Covid-19 pandemic pandemic and di impact on different kontries don make e goment shift gears and re-strategise. E appeal to Nigerians not to take Covid-19 likely. Nigeria get dia independence from Britain for October 1st, 1960. President Buhari also take di opportunity to remind di global community that di current rate of access to Covid-19 vaccine no dey acceptable. ""We no fit afford a situation where just few kontries keep di global vaccine supply to demsef at di expense of oda nations."" Concerning security challenges wey Nigeria dey face, President Buhari say di goment don take di fight to di kontri enemies from all angles to secure Nigeria and dem dey win dis fight. ​""For di North East region alone, over eight thousand Boko Haram terrorists don surrender."" To fight banditry, di president say Nigerian Armed Forces don recruit ova 17,000 personnel and e don approve forNigerian Police Force to recruit 10,000 police officers annually over di next six years. E say di goment dey ready to arrest any pesin wey dey incite violence through words or action.  ""Our hope no be to fight for peace. We fit always settle our grievances peacefully without spilling any blood,"" di president tok. E add say ​Nigeria na for everybody and di unity of di kontri no dey negotiable plus advise Nigerians to embrace peace and comot hands from violence. President Buhari say di recent arrest of Nnamdi Kanu and Sunday Adeyemo, and di ongoing investigations wey dem dey do don reveal certain high-profile pipo wey dey finance dem. ""We dey seriously pursue all dis financiers including one identify as a serving member of di national assembly."" ""My kontri pipo, dis na clear example of how pipo abandon dia national leadership positions for dia selfish gains.  ""Instead of preaching unity, dem dey fund and mislead our youth to do criminal acts wey sometimes lead to unfortunate and unnecessary loss of lives and property,"" President Buhari tok. E add say as di so-called leaders run go abroad to hide, di innocent youths dey mislead and abandon for streets to fight for dia senseless and destructive causes. President Buhari say im don direct make dem lift di suspension of twitter only if dem meet di conditions to allow di kontri citizens continue di use of di platform for business and positive engagements.   ""Social media na very useful platforms wey don make millions of Nigerians connect with loved ones... but recent events don show say some users dey misuse di platform to promote fake news, commit crimes and odas."" ""To address dis negative trends, Federal Goment suspend Twitter for Nigeria on June 5, 2021 to address dis challenges."" Di president say afta di shutdown, e set up committee wey go tok with Twitter to settle di issues and di Committee, along with dia Technical Team don address some issues; ​And afta di committee tok-tok with twitter, di president say e don direct make dem lift di ban except Twitter meet di conditions wey goment give dem. ""As a kontri, we dey committed to ensure say digital companies use dia platform to enhance di lives of our citizens, respect Nigeria sovereignty, cultural values and promote online safety."" President Buhari tok say di food prices wey dey go up recently na sake of di artificial shortages wey middlemen wey dey buy and hide food create. ""Unfortunately, as our food production capacity don increase, food prices don dey go up because of artificial shortages wey middlemen wey dey buy and hoard dis essential commodities create for profit."" In order to address dis, di president direct di Ministry of Agriculture and Rural Development to rehabilitate di National Food Reserve Agency. And make dem also work with security agencies, di Nigerian Commodity Exchange, and di National Assembly to find  lasting solution to dis hiding activities.",MOST_POPULAR,https://www.bbc.com/pidgin/tori-58758300
Nigeria Independence Day: Goment declare Public holiday to mark di kontri 61st Independence celebration,"Nigeria Federal goment don declare Friday, October 1, as public holiday to mark di kontri 61st  Independence anniversary Celebration.   Minister of Interior, Rauf Aregbesola na im make di announcement on behalf of di Federal goment. E congratulate all Nigerians for dis year celebration and say goment dey committed to tackle and end all di kontri challenges.  ""A kontri of about 200 million and above pipo wey natural talent, grit and passion dey shine like di precious diamond wey we be"", na so e tok ""Nigerians dey sparkle like diamonds for pack, weda na Academics, Business, Innovation, Music, Movie, Entertainment, Fashion and culture. We be di leading black nation for di whole world and no doubt  Africa pride and beacon of hope"" Aregbesola add. On October 1, 1960 Nigeria, Africa most populous nation declare im independence from British colonial rule. Di Minister confirm say, to celebrate Nigeria 61 Independence Anniversary dey necessary, but add say di safety of kontri pipo na di President major concern, especially wit COVID-19 third Delta variant  wey still dey worry.  So e say dis year celebration go happun but without di usual serere.  Aregbesola use di opportunity to wish Nigerians fruitful independence celebration. E still remind kontri pipo of wetin di founding fathers tok, wia dem say in spite of di difference in faith, tribe and tongue dem bin come together for Nigeria independence. For di end of im statement e tell kontri pipo say ""We must work together to make Nigeria great."" Aregbesola tok. Tori be say di activities to mark di 61st Independence Day celebration bin start on Sunday 26 wit Thanksgiving service for Abuja. Vice President Yemi Osinbajo and im wife attend di service wit Christian leaders.",MOST_POPULAR,https://www.bbc.com/pidgin/tori-58750519
Princess Mako: Meet di princess wey go lose $1.3m plus her royal status to marry commoner,"Afta years of controversy, Japan Princess Mako, go marry her former classmate, one commoner, dis month - and she dey give up her royal status. Di Imperial Household Agency say dem don set di date for 26 October. Di couple bin initially wan wed for 2018, but dem cancel am based on reports say accounts say Mr Komuro family bin enta gbese- Financial trouble. Dem dey expected to move to di US- wia oga Komuro dey work as lawyer- afta dia marriage. Plenti media coverage around di princess - wey im papa be Crown Prince Fumihito - and Oga Komuro family over di years don cause di princess to suffer from post-traumatic stress disorder, di Imperial Household Agency said, according to news outlet Kyodo. Her aunty, Empress Masako, also suffer from one stress-related illness, afta she face plenti pressure to born boy wey go be heir. Di couple bin first meet for 2012 as students for di International Christian University for Tokyo. Dem bin engage for 2017 and bin dey ready to marry di following year. But news later comot of Oga Komuro mama financial problems - she bin reportedly take one loan from her ex-fiancé and she no pay am back. Di palace deny say dem get hand for di delay, even as Crown Prince Fumihito bin tok say e dey important for dem to resolve di money issues before dem go fit marry. From reports, Princess Mako no go collect traditional lump-sum payment of up to 150 million yen ($1.3m; £0.97m) wey dem dey typically give to member of di royal family as dem dey comot from di household. She go also skip di usual rites associated wit royal family wedding. If she skip both di payment and di rites e go make her di first female member of di royal family wey do like dis. Under Japanese law, female imperial family members go lose dia status if dem marry ""commoner"", but e no dey apply to male members.",MOST_POPULAR,https://www.bbc.com/pidgin/world-58764626
UK temporary visa scheme for foreign lorry drivers and poultry workers - All you need know,"Up to 10,500 lorry drivers and poultry workers fit get temporary UK visas. Dis dey come as goment wan try limit disruption in di run-up to Christmas. Goment confam say 5,000 fuel tanker and food lorry drivers go dey eligible to work for di UK for three months, until Christmas Eve. Dem go also extend di scheme to accommodate 5,500 poultry workers. Transport Secretary Grant Shapps say e go allow dem ""ensure preparations remain on track"" for di festive season. But di British Chambers of Commerce say di measures be like to ""throw a drop of water for big fire "". Road Haulage Association say di announcement ""barely scratch di surface... validity to Christmas Eve no dey long enough from wia we dey now"". But di freight industry group Logistics UK bin welcome di news and dem call di policy ""a huge step forward to solving di disruption to supply chains"". Recruitment for additional short-term HGV drivers and poultry workers go begin in October, authority tok. Di Road Haulage Association say: ""Haulage companies go need full details on visas clearly presented on Monday so dem fit start recruitment processes. Di shortage of drivers no dey make fuel deliveries go well, plus some petrol stations don close down, and queues dey form. Di Road Haulage Association estimates say di UK dey short of about 100,000 HGV drivers - and di pandemic plus di Brexit move don make di shortage worse. Di government and industry leaders don reassure the public - say fuel shortage no dey for refineries, and ask pipo make dem no dey do panic buying. But di shortage of drivers don threaten more disruption to deliveries of petrol, food and oda goods. Sainsbury say e dey experience ""high demand"" for fuel, wit a ""tiny proportion of sites"" wey dey temporarily closed. BP say about 20 of im 1,200 petrol forecourts dey closed, as between 50 and 100 sites dey affected by di loss of at least one grade of fuel. A ""small number"" of Tesco refilling stations don dey impacted, Esso wey be owner of ExxonMobil tok. EG Group, wey get 341 petrol stations for di UK, dey introduce a limit of £30 per customer on all grades of fuel due to ""unprecedented customer demand"". One petrol station for Stockport sell 5,280 gallons (24,000 litres) of fuel on Friday, compared to 1,760 gallons (8,000 litres) on di same day di previous week. Di European Road Haulers Association say temporary visas go be ""good idea"" but na ""only part of di solution"". Di association say e go dey easier to drive within di EU dan driving between di EU and di UK. Dis one mean say to stay for di EU go dey more appealing for drivers. Allan Davison, managing director of Hoyer Petrolog UK - BP's transport contractor - tell BBC say dem need di temporary visas. ""If dis na permanent request, I go understand di political and practical challenges wit dat, but no be so,"" he tok. ""Na temporary request."" One Downing Street tok-tok pesin say: ""We get ample fuel stocks for dis kontri and di public suppose dey reassured say shortages no dey."" Di tok-tok pesin say di goment dey look at temporary, time-limited measures to introduce. ""We dey move to a high wage, high skilled economy and businesses go need to adapt wit more investment in recruitment and training to provide long-term resilience,"" im add.",MOST_POPULAR,https://www.bbc.com/pidgin/tori-58689345
Nigeria at 61: Interesting Fotos of how Nigerians celebrate independence day,"Nigerians dey celebrate di kontri 61st independence day on Friday 1 October. Federal goment bin declare di day as public holiday. Dis year celebration happun but without di usual serere and na sake of COVID-19 concerns. Nigeria Minister for Interior, Ogbeni Rauf Aregbesola say, to celebrate Nigeria 61 Independence Anniversary dey necessary, but add say di safety of kontri pipo na di President major concern, especially wit COVID-19 third Delta variant wey still dey worry. Di activities to mark di 61st Independence Day celebration bin start on Sunday 26 wit Thanksgiving service for Abuja. Vice President Yemi Osinbajo and im wife attend di service wit Christian leaders. BBC Pidgin bin visit some areas and dis na wetin we see.",MOST_POPULAR,https://www.bbc.com/pidgin/tori-58765513
Dora Akunyili husband Chike Akunyili death: Five things we know about di killing of late ex-NAFDAC DG spouse,"Residents of Anambra state dey in shock sake of di death of Dr. Chike Akunyili husband to late Prof. Dora Akunyili. Gunmen shoot and kill oga Akunyili for south east of Nigeria. Late Prof. Dora Akunyili na former Director General of National Agency for Food & Drug Administration (NAFDAC) and minister of Information. Dis na di breakdown of wetin we know about oga Akunyilli death. Di incident happun on Tuesday September 28, 2021. And na for Umuoji inside Idemili North Local Goment Area of Anambra State e happun , according to local media. Son of di late doctor tell BBC say Dr Akunyili bin dey return to Enugu from one meeting to honour e wife inside Onitsha wen di gunmen begin shoot im motor, kill am instantly with im driver and police orderly. Di Commissioner of Police for Anambra state, Tony Olufu visit di scene of di attack on Wednesday. Oga Olufu order di tactical commanders of di command to sharpely put an end di madness for di state. Di proscribed Indigenous Pipo of Biafra (IPOB) don react. IPOB, say dem no get hand inside im death. Dem tok dis one for inside statement dem release on Wednesday 29 September 2021. ""We no get issues wit Chike Akunyili and no be we kill am, those wey dem behind dis must stop dis and stop to dey use IPOB name."" Dem tok. Lawmakers for senate on Wednesday observe one minute silence in honour of late Dr. Chike Akunyili as dem begin plenary on Wednesday 29, 2021 for di kontri capital Abuja. Meanwhile di Anambra state govnor Willie Obiano don condemn di violence wey di state don witness in di past few days. E tok dis one for state broadcast today. And also announce twenty million Naira (N20,000,000.00) reward for any useful information wey go leading to di arrest of di pipo wey get hand for dis bad-bad attacks for di State. Di South eastern part of Nigeria in recent times dey experience violent attacks from gunmen wey authorities neva fit identify - most of di incidents na hit and run attacks. Dis dey happen as members of di Indigenous People of Biafra (IP0B) wey Nigeria goment don ban dey agitate for separation from di kontri.",MOST_POPULAR,https://www.bbc.com/pidgin/tori-58736254
Russian Royal Wedding: See pictures as Grand Duke George Romanov and Rebecca Bettarini do first royal wedding in ova 100 years,"One descendent of Russia Romanov monarchy, wey dem topple for di 1917 revolution, don marry in a lavish ceremony for St Petersburg. Grand Duke George Mikhailovich Romanov and im fiancée Rebecca Virginia Bettarini tie di knot on Friday. Foreign guests include Prince Rudolph and Princess Tilsim of Liechtenstein, and former Bulgarian royalty full ground. Oga Mikhailovich great-grandfather, Grand Duke Kirill Vladimirovich, bin run comot Russia during di Bolshevik revolution. Russian Orthodox clergy na im conduct di elaborate ceremony for Saint Isaac's cathedral. Di guest list of around 1,500 pipo include prominent names like Konstantin Malofeyev, one monarchist and billionaire wit close ties to di Kremlin, and Russian foreign ministry spokeswoman Maria Zakharova. Oga Romanov, wey be 40, study for Oxford but don spend di majority of im life for France. Im don work for di European Parliament and Russian mining giant, Norilsk Nickel. See fotos from di wedding:",MOST_POPULAR,https://www.bbc.com/pidgin/tori-58765514
"Nigeria at 61: Buhari lift Twitter ban, wit conditions","President Buhari don announce di lift of di ban on Twitter but only if di company meet certain condition. Buhari tok dis one during im independence day speech to Nigerians. E say recent events don show say di platform no just dey as platform but dey serve as means for information dissemination. Rather some users don misuse Twitter to organise, coordinate, and execute criminal activities, propagate fake news, and promote ethnic and religious sentiments dat na why gomment ban di platform. For im speech di President tok say: ""Following di suspension of Twitter operations, Twitter Inc. reach out to di Federal Government of Nigeria to resolve di impasse. Subsequently, I constitute Presidential Committee to engage Twitter to explore di possibility of resolving di issue. ""Di Committee, along wit dia Technical Team, don engage with Twitter and don address a number of key issues. Wey include: ""Following di extensive engagements, dem dey address di issues and I don direct dem to lift di suspension but only if dem meet di conditions to allow our citizens continue di use of di platform for business and positive engagements.  Di president add say, ""As a country, we dey committed to ensure digital companies use their platform to enhance di lives of our citizens, respect Nigeria sovereignty, cultural values and promote online safety."" on June 5, 2021 di Federal Government of Nigeria bin suspend di operations of Twitter in di kontri. Di Minister of Information and Culture, Alhaji Lai Mohammed, bin announce di suspension ""sake of di persistent use of di platform for activities wey dey capable of undermining Nigeria corporate existence."" Dem say di ban go allow di Government put measures in place to address dis challenges. Di decision from Nigeria goment bin come days afta Twitter delete one of di tweets Nigeria President, Muhammadu Buhari bin post on im personal account @MBuhari. President Buhari bin post thread of tweet wia im address insecurity palava for di kontri. Im bin issue ogbonge warning to those wey wan destroy di kontri and burn down national asset say ""rude shock dey wait dem, very soon..."" Di minister bin also direct di National Broadcasting commission to start di process to begin license all OTT and social media operations for Nigeria. Meanwhile di social media company bin tok say oga Buhari tweet violate Twitter Rules.",MOST_POPULAR,https://www.bbc.com/pidgin/world-58732512
Nana Ampadu: Ghana highlife legend die at age 76,"De death of Ghanaian highlife legend, Nana Ampadu at age 76 dey mark major loss to de music industry in de West African state.  On Tuesday September 28, 2021 family of de late Nana Ampadu reveal say he die on admission for de Intensive Care Unit of Legon Hospital.  Music enthusiasts claim say over de period of en career he compose over 800 songs, wey he produce some of de most popular highlife tracks in Ghana. Nana Ampadu form ""African Brothers Band"" in 1963 together wit another musical legend Eddie Donkor. By 1967, he shoot into de limelight after en release Ebi Te Yie which dey mean ""Some Dey Live Well Seated."" Music lovers at de time claim say he release de song as criticism of de governing National Liberation Council at de time.  He subsequently leave de music scene after de end of military rule. In 1973 he win nationwide music competition wey dem crown am ""Singer-in-Chief"" for Ghana.  Despite en huge talent, de musician never shy away from politics which usually be controversial. He compose song about Jerry John Rawlings ahead of de 1992 general elections.  De campaign song which talk about de background of Rawlings as half-Scottish, Rawlings proved to win de first elections under de Fourth Republic of Ghana. He also join campaign platforms of de NPP in de later days of en life, predicting victory for incumbent President Nana Akufo-Addo.  Most songs wey Nana Ampadu write still dey remain classical Ghanaian tunes which dey form part of de culture and identity of de country. Some of en hit songs be popular Obra, which come turn theme song for one of popular Akan Drama shows aired on national TV. Others dey include Getty, Oman Bo Adwo, Ebi Te Yie, Kofi Nkrabea, Yaw Berko and Obi Benya Wo and more.",ENTERTAINMENT,https://www.bbc.com/pidgin/tori-58732510
Princess Mako: Meet di princess wey go lose $1.3m plus her royal status to marry commoner,"Afta years of controversy, Japan Princess Mako, go marry her former classmate, one commoner, dis month - and she dey give up her royal status. Di Imperial Household Agency say dem don set di date for 26 October. Di couple bin initially wan wed for 2018, but dem cancel am based on reports say accounts say Mr Komuro family bin enta gbese- Financial trouble. Dem dey expected to move to di US- wia oga Komuro dey work as lawyer- afta dia marriage. Plenti media coverage around di princess - wey im papa be Crown Prince Fumihito - and Oga Komuro family over di years don cause di princess to suffer from post-traumatic stress disorder, di Imperial Household Agency said, according to news outlet Kyodo. Her aunty, Empress Masako, also suffer from one stress-related illness, afta she face plenti pressure to born boy wey go be heir. Di couple bin first meet for 2012 as students for di International Christian University for Tokyo. Dem bin engage for 2017 and bin dey ready to marry di following year. But news later comot of Oga Komuro mama financial problems - she bin reportedly take one loan from her ex-fiancé and she no pay am back. Di palace deny say dem get hand for di delay, even as Crown Prince Fumihito bin tok say e dey important for dem to resolve di money issues before dem go fit marry. From reports, Princess Mako no go collect traditional lump-sum payment of up to 150 million yen ($1.3m; £0.97m) wey dem dey typically give to member of di royal family as dem dey comot from di household. She go also skip di usual rites associated wit royal family wedding. If she skip both di payment and di rites e go make her di first female member of di royal family wey do like dis. Under Japanese law, female imperial family members go lose dia status if dem marry ""commoner"", but e no dey apply to male members.",ENTERTAINMENT,https://www.bbc.com/pidgin/world-58764626
